event_id,timestamp_iso_utc,timestamp_ms,day,detector,pair_id,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_seconds,imbalance_ratio,notional_usd,price_move_bps,is_partial_window,price_range_bps,amount_missing,reason_mentions_amount,amount_claimed_but_missing,reason_mentions_same_price,same_price_claim_but_large_diff,is_dup_key,review_verdict,review_notes
1768553950273_mirror_reversal_58912_58916,2026-01-16T08:59:10.273000+00:00,1768553950273,Jan-1-31,mirror_reversal,58912_58916,FP,0.9,Slow (3.3s) = normal (user-learned),3262.0,0.1004,0.010453,4.0,,,,,,,False,False,False,False,False,False,,
1769520874007_mirror_reversal_73527_73529,2026-01-27T13:34:34.007000+00:00,1769520874007,Jan-1-31,mirror_reversal,73527_73529,FP,0.9,Slow (3.1s) = normal (user-learned),3105.0,0.6999,0.136507,2.0,,,,,,,False,False,False,False,False,False,,
1769811204053_mirror_reversal_345085_345088,2026-01-30T22:13:24.053000+00:00,1769811204053,Jan-1-31,mirror_reversal,345085_345088,FP,0.9,Slow (3.0s) = normal (user-learned),3025.0,0.6969,0.130881,3.0,,,,,,,False,False,False,False,False,False,,
1769174620484_mirror_reversal_107537_107539,2026-01-23T13:23:40.484000+00:00,1769174620484,Jan-1-31,mirror_reversal,107537_107539,FP,0.9,Slow (3.2s) = normal (user-learned),3157.0,0.7911,0.011194,2.0,,,,,,,False,False,False,False,False,False,,
1768983448896_mirror_reversal_56440_56441,2026-01-21T08:17:28.896000+00:00,1768983448896,Jan-1-31,mirror_reversal,56440_56441,FP,0.9,Slow (3.1s) = normal (user-learned),3105.0,0.1005,0.011201,1.0,,,,,,,False,False,False,False,False,False,,
1769346434856_mirror_reversal_61547_61552,2026-01-25T13:07:14.856000+00:00,1769346434856,Jan-1-31,mirror_reversal,61547_61552,FP,0.9,Slow (3.1s) = normal (user-learned),3133.0,0.1003,0.675463,5.0,,,,,,,False,False,False,False,False,False,,
1769018699853_mirror_reversal_243249_243254,2026-01-21T18:04:59.853000+00:00,1769018699853,Jan-1-31,mirror_reversal,243249_243254,FP,0.9,Slow (3.5s) = normal (user-learned),3465.0,0.0309,0.250899,5.0,,,,,,,False,False,False,False,False,False,,
1769837806205_mirror_reversal_4288_4291,2026-01-31T05:36:46.205000+00:00,1769837806205,Jan-1-31,mirror_reversal,4288_4291,FP,0.9,Slow (3.5s) = normal (user-learned),3459.0,0.1006,0.0119,3.0,,,,,,,False,False,False,False,False,False,,
1767946431564_mirror_reversal_39847_39849,2026-01-09T08:13:51.564000+00:00,1767946431564,Jan-1-31,mirror_reversal,39847_39849,FP,0.9,Slow (3.1s) = normal (user-learned),3102.0,0.0,0.011025,2.0,,,,,,,False,False,False,False,False,False,,
1768062353865_mirror_reversal_83794_83795,2026-01-10T16:25:53.865000+00:00,1768062353865,Jan-1-31,mirror_reversal,83794_83795,FP,0.9,Slow (3.0s) = normal (user-learned),3028.0,0.0788,0.011033,1.0,,,,,,,False,False,False,False,False,False,,
1769423606000_mirror_reversal_62878_62882,2026-01-26T10:33:26+00:00,1769423606000,Jan-1-31,mirror_reversal,62878_62882,FP,0.9,Slow (3.1s) = normal (user-learned),3063.0,0.0997,0.011373,4.0,,,,,,,False,False,False,False,False,False,,
1768955214703_mirror_reversal_387627_387632,2026-01-21T00:26:54.703000+00:00,1768955214703,Jan-1-31,mirror_reversal,387627_387632,FP,0.9,Slow (3.5s) = normal (user-learned),3478.0,0.0,0.011315,5.0,,,,,,,False,False,False,False,False,False,,
1768062499429_mirror_reversal_83947_83948,2026-01-10T16:28:19.429000+00:00,1768062499429,Jan-1-31,mirror_reversal,83947_83948,FP,0.9,Slow (3.3s) = normal (user-learned),3343.0,0.1236,0.011033,1.0,,,,,,,False,False,False,False,False,False,,
1769494188477_mirror_reversal_7997_7998,2026-01-27T06:09:48.477000+00:00,1769494188477,Jan-1-31,mirror_reversal,7997_7998,FP,0.9,Slow (3.3s) = normal (user-learned),3320.0,0.1008,0.011297,1.0,,,,,,,False,False,False,False,False,False,,
1768072982437_mirror_reversal_96677_96679,2026-01-10T19:23:02.437000+00:00,1768072982437,Jan-1-31,mirror_reversal,96677_96679,FP,0.9,Slow (3.2s) = normal (user-learned),3160.0,0.0,0.011038,2.0,,,,,,,False,False,False,False,False,False,,
1769519509496_mirror_reversal_70455_70456,2026-01-27T13:11:49.496000+00:00,1769519509496,Jan-1-31,mirror_reversal,70455_70456,FP,0.9,Slow (3.4s) = normal (user-learned),3406.0,0.1072,0.011375,1.0,,,,,,,False,False,False,False,False,False,,
